ㅇㅑㅇㅍㅏ,[모양은 둥글고 매운맛과 특이한 향기가 있는 채소.]
ㅎㅜㅅㅣㄱ,[식사 후에 먹는 간단한 음식.]
ㅁㅏㄴㅡㄹ,["통통한 작은 덩이 여러 쪽이 둥근 모양을 이루고 있고, 독특한 냄새가 있어 양념과 반찬에 널리 쓰이는 채소."]
ㅎㅗㅂㅏㄱ,[잎이 크고 종 모양의 노란 꽃이 피며 크고 둥근 열매를 맺는 덩굴풀., 잎이 크고 종 모양의 노란 꽃이 피며 크고 둥근 열매를 맺는 덩굴풀의 열매., (놀리는 말로) 못생긴 여자.]
ㅎㅐㅁㅜㄹ,[바다에서 나는 모든 동식물.]
ㅂㅜㅣㅍㅔ,[여러 가지 음식을 차려 놓고 손님이 스스로 선택하여 덜어 먹을 수 있도록 한 식당.]
ㅈㅗㄹㅣㅁ,["고기, 생선, 채소 등을 양념해서 국물이 거의 남지 않게 바짝 끓여 만든 음식.", 조린 음식의 뜻을 나타내는 말.]
ㅈㅓㅇㅜㄹ,[물건의 무게를 다는 데 쓰는 기구.]
ㅇㅡㅁㅈㅜ,[술을 마심.]
ㅅㅣㄱㄱㅣ,[음식을 담는 그릇.]
ㅇㅏㄴㅈㅜ,[술을 마실 때 곁들여 먹는 음식.]
ㄴㅏㅁㅜㄹ,["고사리, 도라지 등의 사람이 먹을 수 있는 풀이나 나뭇잎.", "먹을 수 있는 풀이나 나뭇잎, 채소 등을 삶거나 볶거나 또는 날것으로 양념하여 무친 반찬."]
ㄹㅔㅁㅗㄴ,[신맛이 강하고 새콤한 향기가 나는 타원형의 노란색 열매.]
ㅈㅜㅂㅏㅇ,[음식을 만들거나 차리는 곳.]
ㅁㅕㄹㅊㅣ,[몸은 13 센티미터 정도에 등은 검푸르고 배는 은백색이며 주로 말리거나 젓을 담가 먹는 바닷물고기.]
ㄴㅐㅇㅅㅜ,[차가운 물.]
ㅂㅓㅅㅓㅅ,[그늘지고 물기가 많은 땅이나 썩은 나무에서 자라며 주로 우산처럼 생겼고 음식의 재료로 쓰이는 식물.]
